rank,excel_row_number,ID,年份,批次,院校代码,院校名称,院校专业组代码,专业组名称,专业代码,专业名称,专业全称,城市,学费,专业组最低位次1,最低位次1,院校标签,院校排名,ranking_key,safety_margin_pct,cooperation_filter_status
78,27767,27764,2024,专科高职批,14266,广州华商职业学院,14266505,505组,145,计算机网络技术,计算机网络技术(广州校区),广州,19500.0,385795,,,/,350595,11.0561,not_executed_missing_cooperation_type_field
79,16872,16869,2024,专科高职批,12325,广东新安职业技术学院,12325501,501组,018,计算机应用技术,计算机应用技术(校本部),深圳,19800.0,386170,,,/,350970,11.0678,not_executed_missing_cooperation_type_field
80,16873,16870,2024,专科高职批,12325,广东新安职业技术学院,12325501,501组,019,计算机网络技术,计算机网络技术(校本部),深圳,19800.0,386170,,,/,350970,11.0678,not_executed_missing_cooperation_type_field
81,23874,23871,2024,专科高职批,13716,广州南洋理工职业学院,13716502,502组,222,计算机应用技术,计算机应用技术(校本部),广州,19000.0,390272,,,/,355072,11.196,not_executed_missing_cooperation_type_field
82,23875,23872,2024,专科高职批,13716,广州南洋理工职业学院,13716502,502组,223,计算机网络技术,计算机网络技术(校本部),广州,19000.0,390272,,,/,355072,11.196,not_executed_missing_cooperation_type_field
83,26878,26875,2024,专科高职批,14125,广州松田职业学院,14125502,502组,101,计算机应用技术,计算机应用技术(校本部),广州,18800.0,394689,,,/,359489,11.334,not_executed_missing_cooperation_type_field
84,26879,26876,2024,专科高职批,14125,广州松田职业学院,14125502,502组,102,计算机网络技术,计算机网络技术(校本部),广州,18800.0,394689,,,/,359489,11.334,not_executed_missing_cooperation_type_field
85,23778,23775,2024,专科高职批,13715,广州涉外经济职业技术学院,13715504,504组,238,计算机网络技术,计算机网络技术(校本部),广州,19800.0,399845,,,/,364645,11.4952,not_executed_missing_cooperation_type_field
86,25400,25397,2024,专科高职批,13927,广州华南商贸职业学院,13927501,501组,101,计算机应用技术,计算机应用技术(广州市白云区),广州,19000.0,404260,,,/,369060,11.6331,not_executed_missing_cooperation_type_field
87,25401,25398,2024,专科高职批,13927,广州华南商贸职业学院,13927501,501组,102,计算机网络技术,计算机网络技术(广州市白云区),广州,19000.0,404260,,,/,369060,11.6331,not_executed_missing_cooperation_type_field
88,27739,27736,2024,专科高职批,14266,广州华商职业学院,14266504,504组,117,计算机网络技术,计算机网络技术(江门校区),广州,19500.0,417595,,,/,382395,12.0498,not_executed_missing_cooperation_type_field
89,28211,28208,2024,专科高职批,14362,广州东华职业学院,14362512,512组,048,计算机应用技术,计算机应用技术(校本部),广州,19800.0,418090,,,/,382890,12.0653,not_executed_missing_cooperation_type_field
90,23765,23762,2024,专科高职批,13715,广州涉外经济职业技术学院,13715502,502组,230,计算机应用技术,计算机应用技术(校本部),广州,19800.0,419462,,,/,384262,12.1082,not_executed_missing_cooperation_type_field
91,13597,13594,2024,专科高职批,11121,私立华联学院,11121502,502组,042,计算机应用技术,计算机应用技术(广州市天河区),广州,18000.0,427760,,,/,392560,12.3675,not_executed_missing_cooperation_type_field
92,13627,13624,2024,专科高职批,11121,私立华联学院,11121502,502组,072,计算机网络技术,计算机网络技术(校企联合培养，广州市天河区),广州,19800.0,427760,,,/,392560,12.3675,not_executed_missing_cooperation_type_field
93,25528,25525,2024,专科高职批,13928,广州华立科技职业学院,13928503,503组,222,计算机网络技术,计算机网络技术(云浮校区),广州,16800.0,428749,,,/,393549,12.3984,not_executed_missing_cooperation_type_field
